"ItemIndex","ItemShape","CosShape"
"48133","654","0"
"48134","654","0"
"48135","652","0"
"48136","652","0"
"48137","652","0"
"48138","652","0"
"48139","652","0"
"48140","652","0"
"48141","652","0"
"48142","652","0"
"48143","652","0"
"48144","651","0"
"48145","651","0"
"48146","651","0"
"48147","651","0"
"48148","651","0"
"48149","651","0"
"48150","651","0"
"48151","651","0"
"48152","651","0"
"48153","650","0"
"48154","650","0"
"48155","650","0"
"48156","650","0"
"48157","650","0"
"48158","650","0"
"48159","650","0"
"48160","650","0"
"48161","650","0"
"48162","649","0"
"48163","649","0"
"48164","649","0"
"48165","649","0"
"48166","649","0"
"48167","649","0"
"48168","649","0"
"48169","649","0"
"48170","649","0"
"48171","648","0"
"48172","648","0"
"48173","648","0"
"48174","648","0"
"48175","648","0"
"48176","648","0"
"48177","648","0"
"48178","648","0"
"48179","648","0"
"48180","647","0"
"48181","647","0"
"48182","647","0"
"48183","647","0"
"48184","647","0"
"48185","647","0"
"48186","647","0"
"48187","647","0"
"48188","647","0"
"48189","606","0"
"48190","606","0"
"48191","606","0"
"48192","606","0"
"48193","606","0"
"48194","606","0"
"48195","606","0"
"48196","606","0"
"48197","606","0"
"48198","604","0"
"48199","604","0"
"48200","604","0"
"48201","604","0"
"48202","604","0"
"48203","604","0"
"48204","604","0"
"48205","604","0"
"48206","604","0"
"48207","603","0"
"48208","603","0"
"48209","603","0"
"48210","603","0"
"48211","603","0"
"48212","603","0"
"48213","603","0"
"48214","603","0"
"48215","603","0"
"48216","602","0"
"48217","602","0"
"48218","602","0"
"48219","602","0"
"48220","602","0"
"48221","602","0"
"48222","602","0"
"48223","602","0"
"48224","602","0"
"48225","601","0"
"48226","601","0"
"48227","601","0"
"48228","601","0"
"48229","601","0"
"48230","601","0"
"48231","601","0"
"48232","601","0"
"48233","601","0"
"48234","600","0"
"48235","600","0"
"48236","600","0"
"48237","600","0"
"48238","600","0"
"48239","600","0"
"48240","600","0"
"48241","600","0"
"48242","600","0"
"48243","599","0"
"48244","599","0"
"48245","599","0"
"48246","599","0"
"48247","599","0"
"48248","599","0"
"48249","599","0"
"48250","599","0"
"48251","599","0"
"48252","638","0"
"48253","638","0"
"48254","638","0"
"48255","638","0"
"48256","638","0"
"48257","638","0"
"48258","638","0"
"48259","638","0"
"48260","638","0"
"48261","636","0"
"48262","636","0"
"48263","636","0"
"48264","636","0"
"48265","636","0"
"48266","636","0"
"48267","636","0"
"48268","636","0"
"48269","636","0"
"48270","635","0"
"48271","635","0"
"48272","635","0"
"48273","635","0"
"48274","635","0"
"48275","635","0"
"48276","635","0"
"48277","635","0"
"48278","635","0"
"48279","634","0"
"48280","634","0"
"48281","634","0"
"48282","634","0"
"48283","634","0"
"48284","634","0"
"48285","634","0"
"48286","634","0"
"48287","634","0"
"48288","633","0"
"48289","633","0"
"48290","633","0"
"48291","633","0"
"48292","633","0"
"48293","633","0"
"48294","633","0"
"48295","633","0"
"48296","633","0"
"48297","632","0"
"48298","632","0"
"48299","632","0"
"48300","632","0"
"48301","632","0"
"48302","632","0"
"48303","632","0"
"48304","632","0"
"48305","632","0"
"48306","631","0"
"48307","631","0"
"48308","631","0"
"48309","631","0"
"48310","631","0"
"48311","631","0"
"48312","631","0"
"48313","631","0"
"48314","631","0"
"48315","702","0"
"48316","702","0"
"48317","702","0"
"48318","702","0"
"48319","702","0"
"48320","702","0"
"48321","702","0"
"48322","702","0"
"48323","702","0"
"48324","700","0"
"48325","700","0"
"48326","700","0"
"48327","700","0"
"48328","700","0"
"48329","700","0"
"48330","700","0"
"48331","700","0"
"48332","700","0"
"48333","699","0"
"48334","699","0"
"48335","699","0"
"48336","699","0"
"48337","699","0"
"48338","699","0"
"48339","699","0"
"48340","699","0"
"48341","699","0"
"48342","698","0"
"48343","698","0"
"48344","698","0"
"48345","698","0"
"48346","698","0"
"48347","698","0"
"48348","698","0"
"48349","698","0"
"48350","698","0"
"48351","697","0"
"48352","697","0"
"48353","697","0"
"48354","697","0"
"48355","697","0"
"48356","697","0"
"48357","697","0"
"48358","697","0"
"48359","697","0"
"48360","696","0"
"48361","696","0"
"48362","696","0"
"48363","696","0"
"48364","696","0"
"48365","696","0"
"48366","696","0"
"48367","696","0"
"48368","696","0"
"48369","695","0"
"48370","695","0"
"48371","695","0"
"48372","695","0"
"48373","695","0"
"48374","695","0"
"48375","695","0"
"48376","695","0"
"48377","695","0"
"48378","630","0"
"48379","630","0"
"48380","630","0"
"48381","630","0"
"48382","630","0"
"48383","630","0"
"48384","630","0"
"48385","630","0"
"48386","630","0"
"48387","628","0"
"48388","628","0"
"48389","628","0"
"48390","628","0"
"48391","628","0"
"48392","628","0"
"48393","628","0"
"48394","628","0"
"48395","628","0"
"48396","627","0"
"48397","627","0"
"48398","627","0"
"48399","627","0"
"48400","627","0"
"48401","627","0"
"48402","627","0"
"48403","627","0"
"48404","627","0"
"48405","626","0"
"48406","626","0"
"48407","626","0"
"48408","626","0"
"48409","626","0"
"48410","626","0"
"48411","626","0"
"48412","626","0"
"48413","626","0"
"48414","625","0"
"48415","625","0"
"48416","625","0"
"48417","625","0"
"48418","625","0"
"48419","625","0"
"48420","625","0"
"48421","625","0"
"48422","625","0"
"48423","624","0"
"48424","624","0"
"48425","624","0"
"48426","624","0"
"48427","624","0"
"48428","624","0"
"48429","624","0"
"48430","624","0"
"48431","624","0"
"48432","623","0"
"48433","623","0"
"48434","623","0"
"48435","623","0"
"48436","623","0"
"48437","623","0"
"48438","623","0"
"48439","623","0"
"48440","623","0"
"48441","678","0"
"48442","678","0"
"48443","678","0"
"48444","678","0"
"48445","678","0"
"48446","678","0"
"48447","678","0"
"48448","678","0"
"48449","678","0"
"48450","676","0"
"48451","676","0"
"48452","676","0"
"48453","676","0"
"48454","676","0"
"48455","676","0"
"48456","676","0"
"48457","676","0"
"48458","676","0"
"48459","675","0"
"48460","675","0"
"48461","675","0"
"48462","675","0"
"48463","675","0"
"48464","675","0"
"48465","675","0"
"48466","675","0"
"48467","675","0"
"48468","674","0"
"48469","674","0"
"48470","674","0"
"48471","674","0"
"48472","674","0"
"48473","674","0"
"48474","674","0"
"48475","674","0"
"48476","674","0"
"48477","673","0"
"48478","673","0"
"48479","673","0"
"48480","673","0"
"48481","673","0"
"48482","673","0"
"48483","673","0"
"48484","673","0"
"48485","673","0"
"48486","672","0"
"48487","672","0"
"48488","672","0"
"48489","672","0"
"48490","672","0"
"48491","672","0"
"48492","672","0"
"48493","672","0"
"48494","672","0"
"48495","671","0"
"48496","671","0"
"48497","671","0"
"48498","671","0"
"48499","671","0"
"48500","671","0"
"48501","671","0"
"48502","671","0"
"48503","671","0"
"48504","614","0"
"48505","614","0"
"48506","614","0"
"48507","614","0"
"48508","614","0"
"48509","614","0"
"48510","614","0"
"48511","614","0"
"48512","614","0"
"48513","612","0"
"48514","612","0"
"48515","612","0"
"48516","612","0"
"48517","612","0"
"48518","612","0"
"48519","612","0"
"48520","612","0"
"48521","612","0"
"48522","611","0"
"48523","611","0"
"48524","611","0"
"48525","611","0"
"48526","611","0"
"48527","611","0"
"48528","611","0"
"48529","611","0"
"48530","611","0"
"48531","610","0"
"48532","610","0"
"48533","610","0"
"48534","610","0"
"48535","610","0"
"48536","610","0"
"48537","610","0"
"48538","610","0"
"48539","610","0"
"48540","609","0"
"48541","609","0"
"48542","609","0"
"48543","609","0"
"48544","609","0"
"48545","609","0"
"48546","609","0"
"48547","609","0"
"48548","609","0"
"48549","608","0"
"48550","608","0"
"48551","608","0"
"48552","608","0"
"48553","608","0"
"48554","608","0"
"48555","608","0"
"48556","608","0"
"48557","608","0"
"48558","607","0"
"48559","607","0"
"48560","607","0"
"48561","607","0"
"48562","607","0"
"48563","607","0"
"48564","607","0"
"48565","607","0"
"48566","607","0"
"48567","646","0"
"48568","646","0"
"48569","646","0"
"48570","646","0"
"48571","646","0"
"48572","646","0"
"48573","646","0"
"48574","646","0"
"48575","646","0"
"48576","645","0"
"48577","645","0"
"48578","645","0"
"48579","645","0"
"48580","645","0"
"48581","645","0"
"48582","645","0"
"48583","645","0"
"48584","645","0"
"48585","643","0"
"48586","643","0"
"48587","643","0"
"48588","643","0"
"48589","643","0"
"48590","643","0"
"48591","643","0"
"48592","643","0"
"48593","643","0"
"48594","642","0"
"48595","642","0"
"48596","642","0"
"48597","642","0"
"48598","642","0"
"48599","642","0"
"48600","642","0"
"48601","642","0"
"48602","642","0"
"48603","641","0"
"48604","641","0"
"48605","641","0"
"48606","641","0"
"48607","641","0"
"48608","641","0"
"48609","641","0"
"48610","641","0"
"48611","641","0"
"48612","640","0"
"48613","640","0"
"48614","640","0"
"48615","640","0"
"48616","640","0"
"48617","640","0"
"48618","640","0"
"48619","640","0"
"48620","640","0"
"48621","639","0"
"48622","639","0"
"48623","639","0"
"48624","639","0"
"48625","639","0"
"48626","639","0"
"48627","639","0"
"48628","639","0"
"48629","639","0"
"48630","694","0"
"48631","694","0"
"48632","694","0"
"48633","694","0"
"48634","694","0"
"48635","694","0"
"48636","694","0"
"48637","694","0"
"48638","694","0"
"48639","692","0"
"48640","692","0"
"48641","692","0"
"48642","692","0"
"48643","692","0"
"48644","692","0"
"48645","692","0"
"48646","692","0"
"48647","692","0"
"48648","691","0"
"48649","691","0"
"48650","691","0"
"48651","691","0"
"48652","691","0"
"48653","691","0"
"48654","691","0"
"48655","691","0"
"48656","691","0"
"48657","690","0"
"48658","690","0"
"48659","690","0"
"48660","690","0"
"48661","690","0"
"48662","690","0"
"48663","690","0"
"48664","690","0"
"48665","690","0"
"48666","689","0"
"48667","689","0"
"48668","689","0"
"48669","689","0"
"48670","689","0"
"48671","689","0"
"48672","689","0"
"48673","689","0"
"48674","689","0"
"48675","688","0"
"48676","688","0"
"48677","688","0"
"48678","688","0"
"48679","688","0"
"48680","688","0"
"48681","688","0"
"48682","688","0"
"48683","688","0"
"48684","687","0"
"48685","687","0"
"48686","687","0"
"48687","687","0"
"48688","687","0"
"48689","687","0"
"48690","687","0"
"48691","687","0"
"48692","687","0"
"48693","662","0"
"48694","662","0"
"48695","662","0"
"48696","662","0"
"48697","662","0"
"48698","662","0"
"48699","662","0"
"48700","662","0"
"48701","662","0"
"48702","660","0"
"48703","660","0"
"48704","660","0"
"48705","660","0"
"48706","660","0"
"48707","660","0"
"48708","660","0"
"48709","660","0"
"48710","660","0"
"48711","659","0"
"48712","659","0"
"48713","659","0"
"48714","659","0"
"48715","659","0"
"48716","659","0"
"48717","659","0"
"48718","659","0"
"48719","659","0"
"48720","658","0"
"48721","658","0"
"48722","658","0"
"48723","658","0"
"48724","658","0"
"48725","658","0"
"48726","658","0"
"48727","658","0"
"48728","658","0"
"48729","657","0"
"48730","657","0"
"48731","657","0"
"48732","657","0"
"48733","657","0"
"48734","657","0"
"48735","657","0"
"48736","657","0"
"48737","657","0"
"48738","656","0"
"48739","656","0"
"48740","656","0"
"48741","656","0"
"48742","656","0"
"48743","656","0"
"48744","656","0"
"48745","656","0"
"48746","656","0"
"48747","655","0"
"48748","655","0"
"48749","655","0"
"48750","655","0"
"48751","655","0"
"48752","655","0"
"48753","655","0"
"48754","655","0"
"48755","655","0"
"48756","686","0"
"48757","686","0"
"48758","686","0"
"48759","686","0"
"48760","686","0"
"48761","686","0"
"48762","686","0"
"48763","686","0"
"48764","686","0"
"48765","684","0"
"48766","684","0"
"48767","684","0"
"48768","684","0"
"48769","684","0"
"48770","684","0"
"48771","684","0"
"48772","684","0"
"48773","684","0"
"48774","683","0"
"48775","683","0"
"48776","683","0"
"48777","683","0"
"48778","683","0"
"48779","683","0"
"48780","683","0"
"48781","683","0"
"48782","683","0"
"48783","682","0"
"48784","682","0"
"48785","682","0"
"48786","682","0"
"48787","682","0"
"48788","682","0"
"48789","682","0"
"48790","682","0"
"48791","682","0"
"48792","681","0"
"48793","681","0"
"48794","681","0"
"48795","681","0"
"48796","681","0"
"48797","681","0"
"48798","681","0"
"48799","681","0"
"48800","681","0"
"48801","680","0"
"48802","680","0"
"48803","680","0"
"48804","680","0"
"48805","680","0"
"48806","680","0"
"48807","680","0"
"48808","680","0"
"48809","680","0"
"48810","679","0"
"48811","679","0"
"48812","679","0"
"48813","679","0"
"48814","679","0"
"48815","679","0"
"48816","679","0"
"48817","679","0"
"48818","679","0"
"48819","710","0"
"48820","710","0"
"48821","710","0"
"48822","710","0"
"48823","710","0"
"48824","710","0"
"48825","710","0"
"48826","710","0"
"48827","710","0"
"48828","709","0"
"48829","709","0"
"48830","709","0"
"48831","709","0"
"48832","709","0"
"48833","709","0"
"48834","709","0"
"48835","709","0"
"48836","709","0"
"48837","707","0"
"48838","707","0"
"48839","707","0"
"48840","707","0"
"48841","707","0"
"48842","707","0"
"48843","707","0"
"48844","707","0"
"48845","707","0"
"48846","706","0"
"48847","706","0"
"48848","706","0"
"48849","706","0"
"48850","706","0"
"48851","706","0"
"48852","706","0"
"48853","706","0"
"48854","706","0"
"48855","705","0"
"48856","705","0"
"48857","705","0"
"48858","705","0"
"48859","705","0"
"48860","705","0"
"48861","705","0"
"48862","705","0"
"48863","705","0"
"48864","704","0"
"48865","704","0"
"48866","704","0"
"48867","704","0"
"48868","704","0"
"48869","704","0"
"48870","704","0"
"48871","704","0"
"48872","704","0"
"48873","703","0"
"48874","703","0"
"48875","703","0"
"48876","703","0"
"48877","703","0"
"48878","703","0"
"48879","703","0"
"48880","703","0"
"48881","703","0"
"49000","871","0"
"49001","871","0"
"49002","871","0"
"49003","871","0"
"49004","871","0"
"49005","871","0"
"49006","871","0"
"49007","871","0"
"49008","871","0"
"49009","848","0"
"49010","848","0"
"49011","848","0"
"49012","848","0"
"49013","848","0"
"49014","848","0"
"49015","848","0"
"49016","848","0"
"49017","848","0"
"49018","835","0"
"49019","835","0"
"49020","835","0"
"49021","835","0"
"49022","835","0"
"49023","835","0"
"49024","835","0"
"49025","835","0"
"49026","835","0"
"49027","821","0"
"49028","821","0"
"49029","821","0"
"49030","821","0"
"49031","821","0"
"49032","821","0"
"49033","821","0"
"49034","821","0"
"49035","821","0"
"49036","808","0"
"49037","808","0"
"49038","808","0"
"49039","808","0"
"49040","808","0"
"49041","808","0"
"49042","808","0"
"49043","808","0"
"49044","808","0"
"49045","795","0"
"49046","795","0"
"49047","795","0"
"49048","795","0"
"49049","795","0"
"49050","795","0"
"49051","795","0"
"49052","795","0"
"49053","795","0"
"49054","879","0"
"49055","879","0"
"49056","879","0"
"49057","879","0"
"49058","879","0"
"49059","879","0"
"49060","879","0"
"49061","879","0"
"49062","879","0"
"49063","855","0"
"49064","855","0"
"49065","855","0"
"49066","855","0"
"49067","855","0"
"49068","855","0"
"49069","855","0"
"49070","855","0"
"49071","855","0"
"49072","840","0"
"49073","840","0"
"49074","840","0"
"49075","840","0"
"49076","840","0"
"49077","840","0"
"49078","840","0"
"49079","840","0"
"49080","840","0"
"49081","826","0"
"49082","826","0"
"49083","826","0"
"49084","826","0"
"49085","826","0"
"49086","826","0"
"49087","826","0"
"49088","826","0"
"49089","826","0"
"49090","813","0"
"49091","813","0"
"49092","813","0"
"49093","813","0"
"49094","813","0"
"49095","813","0"
"49096","813","0"
"49097","813","0"
"49098","813","0"
"49099","800","0"
"49100","800","0"
"49101","800","0"
"49102","800","0"
"49103","800","0"
"49104","800","0"
"49105","800","0"
"49106","800","0"
"49107","800","0"
"49108","877","0"
"49109","877","0"
"49110","877","0"
"49111","877","0"
"49112","877","0"
"49113","877","0"
"49114","877","0"
"49115","877","0"
"49116","877","0"
"49117","854","0"
"49118","854","0"
"49119","854","0"
"49120","854","0"
"49121","854","0"
"49122","854","0"
"49123","854","0"
"49124","854","0"
"49125","854","0"
"49126","839","0"
"49127","839","0"
"49128","839","0"
"49129","839","0"
"49130","839","0"
"49131","839","0"
"49132","839","0"
"49133","839","0"
"49134","839","0"
"49135","825","0"
"49136","825","0"
"49137","825","0"
"49138","825","0"
"49139","825","0"
"49140","825","0"
"49141","825","0"
"49142","825","0"
"49143","825","0"
"49144","812","0"
"49145","812","0"
"49146","812","0"
"49147","812","0"
"49148","812","0"
"49149","812","0"
"49150","812","0"
"49151","812","0"
"49152","812","0"
"49153","799","0"
"49154","799","0"
"49155","799","0"
"49156","799","0"
"49157","799","0"
"49158","799","0"
"49159","799","0"
"49160","799","0"
"49161","799","0"
"49162","875","0"
"49163","875","0"
"49164","875","0"
"49165","875","0"
"49166","875","0"
"49167","875","0"
"49168","875","0"
"49169","875","0"
"49170","875","0"
"49171","853","0"
"49172","853","0"
"49173","853","0"
"49174","853","0"
"49175","853","0"
"49176","853","0"
"49177","853","0"
"49178","853","0"
"49179","853","0"
"49180","838","0"
"49181","838","0"
"49182","838","0"
"49183","838","0"
"49184","838","0"
"49185","838","0"
"49186","838","0"
"49187","838","0"
"49188","838","0"
"49189","824","0"
"49190","824","0"
"49191","824","0"
"49192","824","0"
"49193","824","0"
"49194","824","0"
"49195","824","0"
"49196","824","0"
"49197","824","0"
"49198","811","0"
"49199","811","0"
"49200","811","0"
"49201","811","0"
"49202","811","0"
"49203","811","0"
"49204","811","0"
"49205","811","0"
"49206","811","0"
"49207","798","0"
"49208","798","0"
"49209","798","0"
"49210","798","0"
"49211","798","0"
"49212","798","0"
"49213","798","0"
"49214","798","0"
"49215","798","0"
"49216","873","0"
"49217","873","0"
"49218","873","0"
"49219","873","0"
"49220","873","0"
"49221","873","0"
"49222","873","0"
"49223","873","0"
"49224","873","0"
"49225","852","0"
"49226","852","0"
"49227","852","0"
"49228","852","0"
"49229","852","0"
"49230","852","0"
"49231","852","0"
"49232","852","0"
"49233","852","0"
"49234","837","0"
"49235","837","0"
"49236","837","0"
"49237","837","0"
"49238","837","0"
"49239","837","0"
"49240","837","0"
"49241","837","0"
"49242","837","0"
"49243","823","0"
"49244","823","0"
"49245","823","0"
"49246","823","0"
"49247","823","0"
"49248","823","0"
"49249","823","0"
"49250","823","0"
"49251","823","0"
"49252","810","0"
"49253","810","0"
"49254","810","0"
"49255","810","0"
"49256","810","0"
"49257","810","0"
"49258","810","0"
"49259","810","0"
"49260","810","0"
"49261","797","0"
"49262","797","0"
"49263","797","0"
"49264","797","0"
"49265","797","0"
"49266","797","0"
"49267","797","0"
"49268","797","0"
"49269","797","0"
"49270","872","0"
"49271","872","0"
"49272","872","0"
"49273","872","0"
"49274","872","0"
"49275","872","0"
"49276","872","0"
"49277","872","0"
"49278","872","0"
"49279","850","0"
"49280","850","0"
"49281","850","0"
"49282","850","0"
"49283","850","0"
"49284","850","0"
"49285","850","0"
"49286","850","0"
"49287","850","0"
"49288","836","0"
"49289","836","0"
"49290","836","0"
"49291","836","0"
"49292","836","0"
"49293","836","0"
"49294","836","0"
"49295","836","0"
"49296","836","0"
"49297","822","0"
"49298","822","0"
"49299","822","0"
"49300","822","0"
"49301","822","0"
"49302","822","0"
"49303","822","0"
"49304","822","0"
"49305","822","0"
"49306","809","0"
"49307","809","0"
"49308","809","0"
"49309","809","0"
"49310","809","0"
"49311","809","0"
"49312","809","0"
"49313","809","0"
"49314","809","0"
"49315","796","0"
"49316","796","0"
"49317","796","0"
"49318","796","0"
"49319","796","0"
"49320","796","0"
"49321","796","0"
"49322","796","0"
"49323","796","0"
"49324","880","0"
"49325","880","0"
"49326","880","0"
"49327","880","0"
"49328","880","0"
"49329","880","0"
"49330","880","0"
"49331","880","0"
"49332","880","0"
"49333","857","0"
"49334","857","0"
"49335","857","0"
"49336","857","0"
"49337","857","0"
"49338","857","0"
"49339","857","0"
"49340","857","0"
"49341","857","0"
"49342","841","0"
"49343","841","0"
"49344","841","0"
"49345","841","0"
"49346","841","0"
"49347","841","0"
"49348","841","0"
"49349","841","0"
"49350","841","0"
"49351","827","0"
"49352","827","0"
"49353","827","0"
"49354","827","0"
"49355","827","0"
"49356","827","0"
"49357","827","0"
"49358","827","0"
"49359","827","0"
"49360","814","0"
"49361","814","0"
"49362","814","0"
"49363","814","0"
"49364","814","0"
"49365","814","0"
"49366","814","0"
"49367","814","0"
"49368","814","0"
"49369","801","0"
"49370","801","0"
"49371","801","0"
"49372","801","0"
"49373","801","0"
"49374","801","0"
"49375","801","0"
"49376","801","0"
"49377","801","0"
"49378","869","0"
"49379","869","0"
"49380","869","0"
"49381","869","0"
"49382","869","0"
"49383","869","0"
"49384","869","0"
"49385","869","0"
"49386","869","0"
"49387","847","0"
"49388","847","0"
"49389","847","0"
"49390","847","0"
"49391","847","0"
"49392","847","0"
"49393","847","0"
"49394","847","0"
"49395","847","0"
"49396","834","0"
"49397","834","0"
"49398","834","0"
"49399","834","0"
"49400","834","0"
"49401","834","0"
"49402","834","0"
"49403","834","0"
"49404","834","0"
"49405","820","0"
"49406","820","0"
"49407","820","0"
"49408","820","0"
"49409","820","0"
"49410","820","0"
"49411","820","0"
"49412","820","0"
"49413","820","0"
"49414","807","0"
"49415","807","0"
"49416","807","0"
"49417","807","0"
"49418","807","0"
"49419","807","0"
"49420","807","0"
"49421","807","0"
"49422","807","0"
"49423","794","0"
"49424","794","0"
"49425","794","0"
"49426","794","0"
"49427","794","0"
"49428","794","0"
"49429","794","0"
"49430","794","0"
"49431","794","0"
"49432","867","0"
"49433","867","0"
"49434","867","0"
"49435","867","0"
"49436","867","0"
"49437","867","0"
"49438","867","0"
"49439","867","0"
"49440","867","0"
"49441","846","0"
"49442","846","0"
"49443","846","0"
"49444","846","0"
"49445","846","0"
"49446","846","0"
"49447","846","0"
"49448","846","0"
"49449","846","0"
"49450","833","0"
"49451","833","0"
"49452","833","0"
"49453","833","0"
"49454","833","0"
"49455","833","0"
"49456","833","0"
"49457","833","0"
"49458","833","0"
"49459","819","0"
"49460","819","0"
"49461","819","0"
"49462","819","0"
"49463","819","0"
"49464","819","0"
"49465","819","0"
"49466","819","0"
"49467","819","0"
"49468","806","0"
"49469","806","0"
"49470","806","0"
"49471","806","0"
"49472","806","0"
"49473","806","0"
"49474","806","0"
"49475","806","0"
"49476","806","0"
"49477","793","0"
"49478","793","0"
"49479","793","0"
"49480","793","0"
"49481","793","0"
"49482","793","0"
"49483","793","0"
"49484","793","0"
"49485","793","0"
"49486","865","0"
"49487","865","0"
"49488","865","0"
"49489","865","0"
"49490","865","0"
"49491","865","0"
"49492","865","0"
"49493","865","0"
"49494","865","0"
"49495","845","0"
"49496","845","0"
"49497","845","0"
"49498","845","0"
"49499","845","0"
"49500","845","0"
"49501","845","0"
"49502","845","0"
"49503","845","0"
"49504","832","0"
"49505","832","0"
"49506","832","0"
"49507","832","0"
"49508","832","0"
"49509","832","0"
"49510","832","0"
"49511","832","0"
"49512","832","0"
"49513","818","0"
"49514","818","0"
"49515","818","0"
"49516","818","0"
"49517","818","0"
"49518","818","0"
"49519","818","0"
"49520","818","0"
"49521","818","0"
"49522","805","0"
"49523","805","0"
"49524","805","0"
"49525","805","0"
"49526","805","0"
"49527","805","0"
"49528","805","0"
"49529","805","0"
"49530","805","0"
"49531","792","0"
"49532","792","0"
"49533","792","0"
"49534","792","0"
"49535","792","0"
"49536","792","0"
"49537","792","0"
"49538","792","0"
"49539","792","0"
"49540","863","0"
"49541","863","0"
"49542","863","0"
"49543","863","0"
"49544","863","0"
"49545","863","0"
"49546","863","0"
"49547","863","0"
"49548","863","0"
"49549","844","0"
"49550","844","0"
"49551","844","0"
"49552","844","0"
"49553","844","0"
"49554","844","0"
"49555","844","0"
"49556","844","0"
"49557","844","0"
"49558","831","0"
"49559","831","0"
"49560","831","0"
"49561","831","0"
"49562","831","0"
"49563","831","0"
"49564","831","0"
"49565","831","0"
"49566","831","0"
"49567","817","0"
"49568","817","0"
"49569","817","0"
"49570","817","0"
"49571","817","0"
"49572","817","0"
"49573","817","0"
"49574","817","0"
"49575","817","0"
"49576","804","0"
"49577","804","0"
"49578","804","0"
"49579","804","0"
"49580","804","0"
"49581","804","0"
"49582","804","0"
"49583","804","0"
"49584","804","0"
"49585","791","0"
"49586","791","0"
"49587","791","0"
"49588","791","0"
"49589","791","0"
"49590","791","0"
"49591","791","0"
"49592","791","0"
"49593","791","0"
"49594","861","0"
"49595","861","0"
"49596","861","0"
"49597","861","0"
"49598","861","0"
"49599","861","0"
"49600","861","0"
"49601","861","0"
"49602","861","0"
"49603","843","0"
"49604","843","0"
"49605","843","0"
"49606","843","0"
"49607","843","0"
"49608","843","0"
"49609","843","0"
"49610","843","0"
"49611","843","0"
"49612","829","0"
"49613","829","0"
"49614","829","0"
"49615","829","0"
"49616","829","0"
"49617","829","0"
"49618","829","0"
"49619","829","0"
"49620","829","0"
"49621","816","0"
"49622","816","0"
"49623","816","0"
"49624","816","0"
"49625","816","0"
"49626","816","0"
"49627","816","0"
"49628","816","0"
"49629","816","0"
"49630","803","0"
"49631","803","0"
"49632","803","0"
"49633","803","0"
"49634","803","0"
"49635","803","0"
"49636","803","0"
"49637","803","0"
"49638","803","0"
"49639","790","0"
"49640","790","0"
