Index,game/mesh,tpack,effect,effect_add,inv/mesh,tpack,cashshop/belt/scale,twoside,field/mesh,tpack,twoside,x,y,z,scale,rot-dir,degree,effect,Lod,Costype,Boneindex,Targeteffect,game/mesh,tpack,effect,effect_add
11,Item\Weapon\wip\ATT_EQU_wip_17.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_17.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
12,Item\Weapon\wip\ATT_EQU_wip_16.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_16.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
13,Item\Weapon\wip\ATT_EQU_wip_15.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_15.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
14,Item\Weapon\wip\ATT_EQU_wip_14.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_14.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
15,Item\Weapon\wip\ATT_EQU_wip_13.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_13.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
16,Item\Weapon\wip\ATT_EQU_wip_12.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_12.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
17,Item\Weapon\wip\ATT_EQU_wip_11.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_11.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
18,Item\Weapon\wip\ATT_EQU_wip_10.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_10.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
19,Item\Weapon\wip\ATT_EQU_wip_09.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_09.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
20,Item\Weapon\wip\ATT_EQU_wip_08.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_08.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
21,Item\Weapon\wip\ATT_EQU_wip_07.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_07.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
22,Item\Weapon\wip\ATT_EQU_wip_06.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_06.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
23,Item\Weapon\wip\ATT_EQU_wip_05.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_05.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
24,Item\Weapon\wip\ATT_EQU_wip_04.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_04.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
25,Item\Weapon\wip\ATT_EQU_wip_03.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_03.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
26,Item\Weapon\wip\ATT_EQU_wip_02.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_02.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
27,Item\Weapon\wip\ATT_EQU_wip_01.mesh,,0,0,Item\Weapon\wip\ATT_INV_wip_01.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
28,Item\Weapon\Wand\ATT_EQU_WAD_22_10.mesh,Item\Weapon\Wand\ATT_EQU_WAD_22.tpack,6,0,Item\Weapon\Wand\ATT_INV_WAD_22.mesh,Item\Weapon\Wand\ATT_EQU_WAD_22.tpack,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
29,Item\Weapon\Wand\ATT_EQU_WAD_21_10.mesh,Item\Weapon\Wand\ATT_EQU_WAD_21.tpack,6,0,Item\Weapon\Wand\ATT_INV_WAD_21.mesh,Item\Weapon\Wand\ATT_INV_WAD_21.tpack,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
30,Item\Weapon\Wand\ATT_EQU_WAD_21.mesh,Item\Weapon\Wand\ATT_EQU_WAD_21.tpack,0,0,Item\Weapon\Wand\ATT_INV_WAD_21.mesh,Item\Weapon\Wand\ATT_INV_WAD_21.tpack,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
31,Item\Weapon\Wand\ATT_EQU_WAD_20.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_20.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
32,Item\Weapon\Wand\ATT_EQU_WAD_19.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_19.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
33,Item\Weapon\Wand\ATT_EQU_WAD_18.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_18.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
34,Item\Weapon\Wand\ATT_EQU_WAD_17.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_17.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
35,Item\Weapon\Wand\ATT_EQU_WAD_16.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_16.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
36,Item\Weapon\Wand\ATT_EQU_WAD_15.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_15.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
37,Item\Weapon\Wand\ATT_EQU_WAD_14.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_14.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
38,Item\Weapon\Wand\ATT_EQU_WAD_13.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_13.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
39,Item\Weapon\Wand\ATT_EQU_WAD_12.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_12.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
40,Item\Weapon\Wand\ATT_EQU_WAD_11.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_11.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
41,Item\Weapon\Wand\ATT_EQU_WAD_10.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_10.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
42,Item\Weapon\Wand\ATT_EQU_WAD_09.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_09.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
43,Item\Weapon\Wand\ATT_EQU_WAD_08.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_08.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
44,Item\Weapon\Wand\ATT_EQU_WAD_07.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_07.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
45,Item\Weapon\Wand\ATT_EQU_WAD_06.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_06.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
46,Item\Weapon\Wand\ATT_EQU_WAD_05.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_05.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
47,Item\Weapon\Wand\ATT_EQU_WAD_04.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_04.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
48,Item\Weapon\Wand\ATT_EQU_WAD_03.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_03.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
49,Item\Weapon\Wand\ATT_EQU_WAD_02.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_02.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
50,Item\Weapon\Wand\ATT_EQU_WAD_01.mesh,,0,0,Item\Weapon\Wand\ATT_INV_WAD_01.mesh,,1,TRUE,,,,0,0.3,0,1,y,90,1,TRUE,0,0,0,,,0,0
51,Item\Weapon\TwinBlade\ATT_EQU_TBA_22_10.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_22.tpack,6,0,Item\Weapon\TwinBlade\ATT_INV_TBA_22.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_22.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,Item\Weapon\TwinBlade\ATT_EQU_TBA_22_10_L.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_22.tpack,7,0
52,Item\Weapon\TwinBlade\ATT_EQU_TBA_21_10.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_21.tpack,6,0,Item\Weapon\TwinBlade\ATT_INV_TBA_21.mesh,Item\Weapon\TwinBlade\ATT_INV_TBA_21.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,Item\Weapon\TwinBlade\ATT_EQU_TBA_21_10_L.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_21.tpack,7,0
53,Item\Weapon\TwinBlade\ATT_EQU_TBA_21_10.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_21.tpack,6,0,Item\Weapon\TwinBlade\ATT_INV_TBA_21.mesh,Item\Weapon\TwinBlade\ATT_INV_TBA_21.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,Item\Weapon\TwinBlade\ATT_EQU_TBA_21_10_L.mesh,Item\Weapon\TwinBlade\ATT_EQU_TBA_21.tpack,7,0
54,Item\Weapon\TwinBlade\ATT_EQU_TBA_20.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_20.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
55,Item\Weapon\TwinBlade\ATT_EQU_TBA_19.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_19.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
56,Item\Weapon\TwinBlade\ATT_EQU_TBA_18.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_18.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
57,Item\Weapon\TwinBlade\ATT_EQU_TBA_17.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_17.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
58,Item\Weapon\TwinBlade\ATT_EQU_TBA_16.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_16.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
59,Item\Weapon\TwinBlade\ATT_EQU_TBA_15.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_15.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
60,Item\Weapon\TwinBlade\ATT_EQU_TBA_14.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_14.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
61,Item\Weapon\TwinBlade\ATT_EQU_TBA_13.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_13.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
62,Item\Weapon\TwinBlade\ATT_EQU_TBA_12.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_12.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
63,Item\Weapon\TwinBlade\ATT_EQU_TBA_11.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_11.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
64,Item\Weapon\TwinBlade\ATT_EQU_TBA_10.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_10.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
65,Item\Weapon\TwinBlade\ATT_EQU_TBA_09.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_09.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
66,Item\Weapon\TwinBlade\ATT_EQU_TBA_08.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_08.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
67,Item\Weapon\TwinBlade\ATT_EQU_TBA_07.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_07.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
68,Item\Weapon\TwinBlade\ATT_EQU_TBA_06.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_06.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
69,Item\Weapon\TwinBlade\ATT_EQU_TBA_05.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_05.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
70,Item\Weapon\TwinBlade\ATT_EQU_TBA_04.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_04.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
71,Item\Weapon\TwinBlade\ATT_EQU_TBA_03.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_03.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
72,Item\Weapon\TwinBlade\ATT_EQU_TBA_02.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_02.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
73,Item\Weapon\TwinBlade\ATT_EQU_TBA_01.mesh,,0,0,Item\Weapon\TwinBlade\ATT_INV_TBA_01.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
74,Item\Weapon\Sword\ATT_EQU_SWD_DF.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_DF.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
75,Item\Weapon\Sword\ATT_EQU_SWD_22_10.mesh,Item\Weapon\Sword\ATT_EQU_SWD_22.tpack,6,0,Item\Weapon\Sword\ATT_INV_SWD_22.mesh,Item\Weapon\Sword\ATT_EQU_SWD_22.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,Item\Weapon\Sword\ATT_EQU_SWD_22_10_L.mesh,Item\Weapon\Sword\ATT_EQU_SWD_22.tpack,7,0
76,Item\Weapon\Sword\ATT_EQU_SWD_21_10.mesh,Item\Weapon\Sword\ATT_EQU_SWD_21.tpack,6,0,Item\Weapon\Sword\ATT_INV_SWD_21.mesh,Item\Weapon\Sword\ATT_INV_SWD_21.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,Item\Weapon\Sword\ATT_EQU_SWD_21_10_L.mesh,Item\Weapon\Sword\ATT_EQU_SWD_21.tpack,7,0
77,Item\Weapon\Sword\ATT_EQU_SWD_21.mesh,Item\Weapon\Sword\ATT_EQU_SWD_21.tpack,0,0,Item\Weapon\Sword\ATT_INV_SWD_21.mesh,Item\Weapon\Sword\ATT_INV_SWD_21.tpack,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
78,Item\Weapon\Sword\ATT_EQU_SWD_20.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_20.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
79,Item\Weapon\Sword\ATT_EQU_SWD_19.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_19.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
80,Item\Weapon\Sword\ATT_EQU_SWD_18.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_18.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
81,Item\Weapon\Sword\ATT_EQU_SWD_17.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_17.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
82,Item\Weapon\Sword\ATT_EQU_SWD_16.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_16.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
83,Item\Weapon\Sword\ATT_EQU_SWD_15.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_15.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
84,Item\Weapon\Sword\ATT_EQU_SWD_14.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_14.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
85,Item\Weapon\Sword\ATT_EQU_SWD_13.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_13.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
86,Item\Weapon\Sword\ATT_EQU_SWD_12.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_12.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
87,Item\Weapon\Sword\ATT_EQU_SWD_11.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_11.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
88,Item\Weapon\Sword\ATT_EQU_SWD_10.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_10.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
89,Item\Weapon\Sword\ATT_EQU_SWD_09.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_09.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
90,Item\Weapon\Sword\ATT_EQU_SWD_08.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_08.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
91,Item\Weapon\Sword\ATT_EQU_SWD_07.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_07.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
92,Item\Weapon\Sword\ATT_EQU_SWD_06.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_06.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
93,Item\Weapon\Sword\ATT_EQU_SWD_05.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_05.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
94,Item\Weapon\Sword\ATT_EQU_SWD_04.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_04.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
95,Item\Weapon\Sword\ATT_EQU_SWD_03.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_03.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
96,Item\Weapon\Sword\ATT_EQU_SWD_02.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_02.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
97,Item\Weapon\Sword\ATT_EQU_SWD_01.mesh,,0,0,Item\Weapon\Sword\ATT_INV_SWD_01.mesh,,1,TRUE,,,,0,0.2,0,1,y,90,2,TRUE,0,0,0,,,0,0
98,Item\Weapon\Stick\ATT_EQU_STF_22_10.mesh,Item\Weapon\Stick\ATT_EQU_STF_22.tpack,6,0,Item\Weapon\Stick\ATT_INV_STF_22.mesh,Item\Weapon\Stick\ATT_EQU_STF_22.tpack,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
99,Item\Weapon\Stick\ATT_EQU_STF_21_10.mesh,Item\Weapon\Stick\ATT_EQU_STF_21.tpack,6,0,Item\Weapon\Stick\ATT_INV_STF_21.mesh,Item\Weapon\Stick\ATT_INV_STF_21.tpack,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
100,Item\Weapon\Stick\ATT_EQU_STF_21_10.mesh,Item\Weapon\Stick\ATT_EQU_STF_21.tpack,6,0,Item\Weapon\Stick\ATT_INV_STF_21.mesh,Item\Weapon\Stick\ATT_INV_STF_21.tpack,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
101,Item\Weapon\Stick\ATT_EQU_STF_20.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_20.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
102,Item\Weapon\Stick\ATT_EQU_STF_19.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_19.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
103,Item\Weapon\Stick\ATT_EQU_STF_18.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_18.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
104,Item\Weapon\Stick\ATT_EQU_STF_17.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_17.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
105,Item\Weapon\Stick\ATT_EQU_STF_16.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_16.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
106,Item\Weapon\Stick\ATT_EQU_STF_15.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_15.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
107,Item\Weapon\Stick\ATT_EQU_STF_14.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_14.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
108,Item\Weapon\Stick\ATT_EQU_STF_13.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_13.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
109,Item\Weapon\Stick\ATT_EQU_STF_12.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_12.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
110,Item\Weapon\Stick\ATT_EQU_STF_11.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_11.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
111,Item\Weapon\Stick\ATT_EQU_STF_10.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_10.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
112,Item\Weapon\Stick\ATT_EQU_STF_09.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_09.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
113,Item\Weapon\Stick\ATT_EQU_STF_08.mesh,,0,0,Item\Weapon\Stick\ATT_INV_STF_08.mesh,,1,TRUE,,,,0,0.5,0,1,z,160,2,TRUE,0,0,0,,,0,0
